Example: Breakers trip in the kitchen, panel looks old, two outlets are not working...|Ejemplo: Los interruptores saltan en la cocina, el panel se ve viejo, dos tomas no funcionan...
Example: garage corner near side wall|Ejemplo: esquina del garaje cerca de la pared lateral
Example: There is water leaking under the kitchen sink and the drain is backing up after using the dishwasher...|Ejemplo: Hay agua filtrándose bajo el fregadero y el desagüe se reserva después de usar el lavavajillas...
Exposed wire|Cable expuesto
Exterior|Exterior
Exterior hose bib|Llave de manguera exterior
Exterior wall|Pared exterior
Exterior walls|Paredes exteriores
Fallen branch|Rama caída
Fast help for leaks, no hot water, or unsafe units.|Ayuda rápida para fugas, falta de agua caliente o unidades inseguras.
Fast help for standing water, basement flooding, and storm damage.|Ayuda rápida para agua estancada, inundación del sótano y daños por tormenta.
Fast help for urgent home problems.|Ayuda rápida para problemas urgentes del hogar.
Faucet / sink|Grifo / fregadero
Fence damage|Daño en cerca
Files|Archivos
Files uploaded|Archivos subidos
Filters|Filtros
Fire extinguisher concern|Preocupación por extintor
First available|Primero disponible
first.|primero.
Fixture loose|Accesorio suelto
Flat|Plano
Flip|Reventa
Flood Emergency|Emergencia por inundación
Floor|Piso
Floor sloping|Piso inclinado
Floor uneven|Piso desnivelado
Focus areas|Áreas de enfoque
Foundation|Cimentación
Foundation crack|Grieta en la cimentación
Foundation settlement|Asentamiento de cimentación
Foundation type|Tipo de cimentación
Front yard|Patio delantero
Frozen coil|Bobina congelada
Furnace|Horno
Furnace / air handler|Horno / manejadora de aire
Garage|Garaje
Garage safety|Seguridad del garaje
Garage slab|Losas del garaje
Gas|Gas
Gas smell|Olor a gas
Gate code, where the heater is located, or anything important to know|Código de portón, ubicación del calentador o cualquier dato importante
General assessment|Evaluación general
General review|Revisión general
General safety review|Revisión general de seguridad
General structure|Estructura general
Get a second opinion|Obtener una segunda opinión
Go to Home|Ir al inicio
Go to My Home|Ir a Mi hogar
Go to Schedule|Ir a Agendar
Hairline crack|Grieta capilar
Hallway|Pasillo
Has there been recent water intrusion?|¿Ha habido entrada reciente de agua?
Have you already shut off the water if needed?|¿Ya cerraste el agua si era necesario?
Have you changed the filter recently?|¿Has cambiado el filtro recientemente?
Health concern|Preocupación de salud
Heat pump|Bomba de calor
Heavy|Grave
Help INDOR understand the issue before scheduling the right provider.|Ayuda a INDOR a entender el problema antes de agendar al proveedor adecuado.
Help us understand the problem better|Ayúdanos a entender mejor el problema
Help us understand the system better|Ayúdanos a entender mejor el sistema
Helpful photos include stains, visible mold, damp drywall, vent areas, crawl space moisture, attic spots, and any areas with previous leaks.|Las fotos útiles incluyen manchas, moho visible, drywall húmedo, áreas de ventilación, humedad en espacio bajo el piso, puntos en el ático y áreas con fugas previas.
Helpful photos include window seals, condensation, attic insulation, crawl space insulation, wall stains, and utility bills.|Las fotos útiles incluyen sellos de ventana, condensación, aislamiento del ático, aislamiento bajo el piso, manchas en paredes y facturas de servicios.
Helpful photos include:|Las fotos útiles incluyen:
High energy bill|Factura de energía alta
High utility bill|Factura de servicios alta
Horizontal crack|Grieta horizontal
Hot room|Habitación caliente
How long has this been happening?|¿Cuánto tiempo lleva ocurriendo?
How many stories?|¿Cuántos pisos?
How much water is there?|¿Cuánta agua hay?
HVAC|HVAC
HVAC closet|Closet HVAC
